Dates,"['2019-01-01', '2019-01-07', '2019-01-14', '2019-01-21', '2019-01-28', '2019-02-04', '2019-02-11', '2019-02-18', '2019-02-25', '2019-03-04', '2019-03-11', '2019-03-18', '2019-03-25', '2019-04-01', '2019-04-08', '2019-04-15', '2019-04-22', '2019-04-29', '2019-05-06', '2019-05-13', '2019-05-20', '2019-05-27', '2019-06-03', '2019-06-10', '2019-06-17', '2019-06-24', '2019-07-01', '2019-07-08', '2019-07-15', '2019-07-22', '2019-07-29', '2019-08-05', '2019-08-12', '2019-08-19', '2019-08-26', '2019-09-02', '2019-09-09', '2019-09-16', '2019-09-23', '2019-09-30', '2019-10-07', '2019-10-14', '2019-10-21', '2019-10-28', '2019-11-04', '2019-11-11', '2019-11-18', '2019-11-25', '2019-12-02', '2019-12-09', '2019-12-16', '2019-12-23', '2019-12-30', '2020-01-06', '2020-01-13', '2020-01-27', '2020-02-03', '2020-02-24', '2020-03-02', '2020-03-09', '2020-03-16', '2020-03-23']"
AK,"[69.94731017767317, 91.7618227285112, 77.66176229449471, 78.45245226624444, 74.28524252779596, 71.9459328015398, 81.03831203090509, 74.44463879355459, 90.43470366270596, 79.66503377701606, 91.63447918069059, 65.5028024090379, 89.25629408344763, 90.76235608584629, 98.5675946231608, 80.28069911007226, 109.03335457907136, 110.64951105057031, 89.95833679655716, 105.64613968911301, 89.2919237188201, 101.67411727919888, 107.20026580460522, 92.42982002310872, 100.86098669787069, 90.77341555172434, 90.42219077562191, 84.19126289570636, 103.57178081715686, 85.56876581495854, 100.93288531295393, 101.10250469591944, 88.44322332410661, 70.62788594546706, 74.37798731174234, 74.31684426688854, 66.96996931548928, 75.69699620463955, 70.21764919202971, 91.47073569649812, 98.43181287427822, 85.98446192597362, 79.96719810097319, 96.2212761678496, 84.10180450240462, 95.81346972961857, 99.27915736984171, 91.16617952025535, 81.83003754629006, 83.96014578505117, 81.35079829079494, 79.19740033881652, 86.33388292002424, 84.93946365080893, 71.6725139155717, 51.45505298790342, 60.4349754676657, 66.30398862850494, 77.31394727687537, 47.894951860321704, 34.15286343731397, 28.82289796092763]"
AL,"[44.08298796029151, 40.304736585818894, 29.92676313310063, 32.754626963441225, 26.795585431005787, 26.39257710259725, 32.526559489070365, 31.405194364684725, 33.36004382392909, 35.40124705936479, 46.39720147905653, 45.15244209091188, 42.63052098559148, 38.85281299453249, 36.2178549131349, 36.209074363992464, 32.343710456435424, 41.342045331409466, 39.86600333719747, 41.6798210107736, 40.3285402737406, 40.87578455795319, 35.924235149561795, 43.75653335789014, 43.20299104871113, 43.75036328614361, 42.591347998497966, 41.11050357987854, 42.67898099265075, 42.52514611667184, 39.07397563455322, 37.79795591622118, 36.53874895777176, 34.397053736830074, 40.67685008607864, 33.59303984200387, 34.606066408151214, 32.85770493082257, 33.265368439727666, 33.852944284291446, 38.324453358529134, 34.607992422137215, 33.290490969746706, 35.393723206569625, 31.660237100714326, 33.52053231116285, 37.67159671297827, 44.51016012637, 37.82547019068581, 42.677175106781185, 46.01022903732156, 45.12854522819367, 47.654308169303576, 33.678162100275, 37.257653839976136, 30.933612983668212, 26.538275012930075, 34.97619771026045, 33.48274159814318, 35.48906838010952, 27.9713238187872, 19.27971942556303]"
AR,"[33.79871502233135, 33.55025476247285, 31.047431507401658, 35.25465634579269, 34.747074041595724, 29.56527439840465, 31.15329338578444, 34.61125917662143, 33.649922305177256, 26.18866552408441, 45.61582582288671, 62.45531107751053, 40.553369135209216, 41.395963679400744, 37.14462412014606, 32.7790119995327, 37.05400336077732, 37.11602747568471, 45.406520535032605, 43.45195338749175, 49.1902918673587, 42.201058900583305, 43.96727370410703, 44.35207821400964, 46.37455585567189, 50.96266819512166, 47.93692036192685, 44.831912894629546, 40.84421065250093, 46.88819425563772, 41.14956350303404, 44.36804797853921, 40.4545043579296, 34.00456668212675, 36.6572096015069, 43.31853654528484, 35.099985631422484, 42.18915143509192, 38.771594206952145, 37.51379519701365, 38.04427072879912, 38.71518113258811, 38.120866257810725, 34.42178143248321, 37.61533573835662, 32.033957634992035, 38.048523174726775, 46.29576822940587, 35.86943949003019, 42.68893983179839, 44.81919699726343, 48.55913109599269, 45.257910398255596, 36.12022190190716, 34.35258816678007, 27.137247096848718, 28.984244160032052, 37.648500156414926, 35.89375092988357, 33.009740544293464, 25.544870683571048, 19.12532366054945]"
AZ,"[52.6722768875552, 41.57710341640753, 40.281573006938046, 44.891715083716925, 60.20917557971483, 32.67766973949129, 39.024102741612246, 34.065126501280226, 40.53037197443043, 39.07286059264771, 51.16258947723282, 46.24503027022131, 45.59946837518496, 46.51157493280049, 46.60264276011488, 43.22051179460214, 45.32478478487864, 47.92148703928031, 54.57606877107547, 54.97568585658185, 52.474187182124645, 57.86481576670518, 53.6184817923625, 54.20137077177002, 58.946710496034406, 58.23021075404618, 58.75590082926266, 56.749832428271596, 55.71056072923689, 51.951667696444986, 47.85987197002829, 49.946489333698864, 53.727957553411244, 48.238329311192686, 46.63785395179432, 46.69492330814598, 48.7211219979696, 47.498613465907184, 45.19373183646221, 48.186958118147906, 50.78271337926089, 47.87688006911625, 47.83479229392312, 41.33129424780433, 45.31010042173464, 45.94395126329154, 40.59164471250888, 50.01376300749315, 40.91285229504344, 50.73877814128028, 52.27231251679461, 51.29607837591923, 48.92060750502804, 41.89987401179729, 40.177718590054866, 36.81582835092585, 30.60083663482265, 41.014892317131036, 43.043554041697845, 42.123959267176744, 28.260789815797672, 22.475043562369628]"
CA,"[59.736209697956355, 53.636890812411174, 54.309154616663896, 54.04295664326888, 55.863661191380494, 45.60864010540894, 54.86344053935381, 53.30360281208321, 53.81079937451726, 47.34165617334797, 64.1909533393108, 65.0446231017699, 67.42418551888393, 69.32300268159659, 67.97858894294471, 64.95790284742395, 62.23157732213152, 62.28402167333585, 66.99459948360803, 66.69835575438616, 65.96764908916775, 65.65458775283291, 65.39502049728733, 68.758699481856, 67.25309088170178, 68.60462208088502, 63.21358535450774, 64.86125201343296, 64.75344521621577, 64.16123611022898, 66.82169185034176, 65.86331748453046, 63.956649691815436, 60.638940191187785, 61.91195914319979, 59.72034524792915, 63.006661142169975, 59.36660261559255, 60.2358743890304, 59.457981265947275, 57.052814160230255, 59.66606486802914, 57.98675837309097, 54.82908803606225, 57.93762563031758, 57.44418802291002, 53.13445879329362, 60.48504065940365, 55.74983795890624, 56.01655319023071, 62.8893146811761, 64.27510763811361, 63.29440524093769, 51.942964454086116, 54.27462931270873, 44.613721527987614, 42.27219796762016, 53.78883455082041, 50.4182650340484, 40.73424132359688, 31.29383759364153, 25.98046576669764]"
CO,"[50.87904014271214, 45.75935926157363, 48.664178184955404, 47.720184038506744, 44.81181785393372, 42.18093490836005, 47.48330605280281, 46.927822414491004, 47.94863362693509, 42.19368013724189, 48.79685560166211, 60.684534946998454, 60.97433307261798, 56.713700924859154, 54.281573173963366, 54.269316785843976, 54.198456003881475, 55.05938235687702, 59.25258062692195, 65.94740655760178, 64.56182860166939, 59.39945170503686, 61.456270907611845, 60.708938749222796, 62.963869457444495, 59.26455565819687, 59.58033285380697, 63.21836577958091, 57.28012947838431, 57.73859630182179, 59.758184721508435, 60.149766871778134, 57.970821486812326, 54.03413949159404, 55.96518397223269, 53.13878797867311, 52.85190266556285, 54.616426118287976, 55.97669455419956, 53.77737242351175, 57.66916525313543, 59.20424586979669, 54.06721308083002, 46.94539087016506, 58.827998582619706, 51.08917794260051, 57.74672373980603, 58.167642126271666, 51.227498041574314, 60.3739059116626, 67.57155937998961, 64.125499839516, 55.68075484346881, 52.881942853601714, 49.53780306297629, 38.728432605284745, 36.810313048399294, 49.768170233206455, 45.89713054669157, 36.876414780936756, 27.88842852099909, 19.759382791764892]"
CT,"[29.631412999534856, 32.643337995478575, 33.50207797856192, 30.988619085637907, 28.32040345561665, 27.631526760347377, 31.22109892744761, 29.43386124265161, 31.02786223988824, 32.43194866832388, 41.15566582960303, 44.03468064497114, 36.558674235768756, 40.72965281879901, 39.76971515881663, 34.44887112447746, 33.73759226635798, 34.5211901717918, 30.66401933221749, 36.751727161935776, 42.07371858592078, 36.717164662347315, 32.59686030972745, 41.56971346673471, 38.265232105853975, 35.78904081996304, 34.12320878975031, 34.444753755417985, 37.06704326970397, 36.28927885417154, 35.52034709666577, 40.162302691991684, 39.97304682758383, 37.11678533023785, 36.593194650515144, 28.03247137779714, 32.8690215728593, 35.48160987294077, 34.84302067232408, 29.403850730048557, 31.066187977297282, 34.84235336326709, 33.32503374811682, 35.07493838937471, 33.761478146990235, 32.27452098090754, 33.51229274212818, 26.901547130285607, 33.83666635300176, 30.062523440430965, 35.33348508028892, 35.02402100945189, 34.34789536412757, 33.506330971858866, 29.091990401738816, 30.440277458157638, 26.158052180891445, 37.81557063087777, 36.572288736140706, 28.356987118645634, 18.03991333430264, 12.665332560921884]"
DC,"[62.383079116921564, 54.88375692691787, 46.40220479793269, 54.48402705307478, 51.19482084436807, 46.44901035019189, 58.44451595487049, 53.752896449055605, 54.47248876620932, 51.784667654203304, 76.98167668594523, 64.55897735818175, 54.125746017054645, 61.256846274355844, 56.567744047529686, 62.320511691186475, 56.68833889614878, 55.57009681664033, 61.76817262473078, 59.62919468678646, 60.74468581038416, 67.89711763429383, 54.716261126938676, 60.05505179937665, 58.903548845091784, 70.03798281675613, 62.79576806681418, 58.109496211961115, 59.300699371594284, 67.91709289698261, 62.142846152287035, 71.89762251248933, 66.18304647460008, 64.41769153688799, 55.566683401872424, 57.32572713529716, 55.15015666214136, 50.21764073004389, 60.22139461716172, 51.83700926976654, 56.441882431984695, 53.238539860708926, 59.27814160551898, 54.611055747566716, 61.544576381019105, 54.23424905679786, 50.72774290320429, 71.98997753039257, 61.058279086380864, 48.145631774686954, 71.90491426358678, 78.86915373513571, 67.6589531150177, 63.768170927576634, 44.811764645375035, 50.208069055377685, 40.69042734446656, 59.81087271881229, 53.027210920687075, 45.54831189778327, 29.88844583123227, 13.211859703319185]"
DE,"[28.985108393301346, 26.55842032832186, 24.032122469280186, 25.18379215884105, 37.971633264706995, 36.054015434509886, 30.684174931629595, 34.31462392016503, 27.32024159586056, 27.358672539479734, 37.1850081878334, 35.93569655990772, 38.21784608213728, 38.95311781655668, 37.58603237108457, 31.598748821611753, 37.32512758937079, 33.70373319042606, 42.4735708456071, 34.41786919232009, 37.79374103245337, 28.652557331397773, 32.253857196928394, 32.40223643700121, 37.819660170088994, 37.17915151328085, 36.77414874426049, 49.98869101151744, 37.069189606200894, 37.87990564902936, 30.74003440989348, 37.34991524000893, 31.08784648842305, 29.33079351362793, 31.781850736965215, 36.717840860942395, 35.6547491735368, 36.32838104079743, 37.07009910549584, 46.07009499547102, 29.845738615318066, 34.78299182761463, 28.10958463193246, 35.9663092179206, 32.403557353584056, 40.44369788710495, 28.07046363611077, 36.24421271283701, 26.429540340435558, 29.362572096713237, 36.43813623696885, 25.0005878372482, 36.79964024575358, 31.290677043017645, 25.30250401401815, 29.34782027206128, 21.507319952766004, 37.63117346676468, 26.055995420336256, 26.12302894620811, 20.80398414566331, 13.982587116549194]"
FL,"[59.696009586012465, 52.6691369563969, 54.336351695399294, 57.222397244839094, 59.347279824938184, 48.7292423877116, 52.36802130555421, 52.7660433360876, 54.4746328298309, 47.86610021135056, 63.30462824613285, 63.06842978301262, 60.22307671567354, 61.60384177957308, 62.25792887134911, 60.025370690974995, 61.95029868660582, 63.30147198990286, 64.36592044516738, 66.23410183113073, 64.42129149325434, 63.89070183908085, 65.4405909334687, 67.93929590808925, 67.15316476491425, 65.91379169661639, 65.31171705459015, 63.83009445968936, 65.85000587400233, 64.9127030032942, 62.9545242680338, 62.45786669785322, 61.78571064319148, 60.67964167181568, 59.812688685368656, 57.60895711205447, 61.41539147019065, 58.62396447984638, 60.467520015299705, 59.638120710768156, 57.72909701093907, 60.711655231701094, 58.859851150385296, 58.36167581489868, 59.69028237648611, 58.71250837407282, 55.75046158078575, 62.30968868981464, 56.53399737049385, 59.94755880917553, 59.37874430828207, 61.04381214162002, 59.898964455809725, 51.79289832146793, 55.03083923100903, 46.89112248563893, 43.500613070678746, 57.72421824965468, 56.02586529981348, 51.35619723523747, 39.28644017422918, 29.93261722579016]"
GA,"[53.97782800229996, 47.4944106102171, 46.9368404992776, 52.221019273466084, 54.072820007159756, 43.039888680300606, 46.97646700026539, 46.71362470103435, 47.85872191260211, 40.707645212615034, 60.58788362625256, 56.963957174945286, 52.430269889000975, 57.59169251970824, 53.412196043265475, 52.062173318560006, 51.43974283935129, 50.39426110626482, 58.05232952104232, 54.704861814247074, 58.650342489276255, 61.028062673271904, 59.838224014134475, 59.2523933711233, 62.801868147418226, 58.9819143403416, 56.82738793280807, 56.65065784459655, 56.99057721403158, 57.201647797436245, 55.310263992734114, 53.286025120451676, 54.018224567038615, 46.38286615847388, 49.74267895383184, 49.943382608302535, 48.45182443556533, 48.746815874951544, 47.95734014615733, 49.09133209496813, 49.503388774713954, 49.70010497178252, 48.33324152001402, 48.02758222292147, 48.646135460912106, 47.557284198635095, 47.849257676292936, 54.68305459729494, 47.10603579457311, 52.49157903078449, 53.61154028437323, 52.5897093403239, 54.61323617727811, 46.03810180544882, 45.27564574939079, 40.961907566251284, 37.424399384564, 49.93817264231416, 45.6859038749292, 47.23786876391942, 33.6422016787252, 25.272786906994767]"
HI,"[139.38832394987324, 127.84622718945499, 92.16903959901752, 103.69125331774192, 85.32270503397281, 81.29716405545192, 105.43800004628281, 105.7861840165805, 107.94704736661708, 85.57925626050567, 114.62539910403395, 131.3634037267895, 96.06832531918437, 104.7882468254492, 118.37163967280144, 130.4916948188693, 132.81282219352093, 134.267566585992, 132.61070027061092, 117.2497508161539, 138.83291221173562, 131.88307885365057, 120.02964348736649, 124.57697875142486, 124.29917607123026, 129.4820293985935, 116.83665086117745, 117.65039627532472, 121.05298820608661, 105.11706413879192, 128.35789618151128, 116.57396657873943, 113.15124050245092, 119.58542358923002, 108.24506513913656, 109.10321263430792, 120.0277265987504, 91.95671232277657, 112.01883038687046, 121.02031138981212, 118.73251628002757, 102.83628659953915, 110.04240727547199, 110.75216309396065, 104.42022503680415, 121.86252284412822, 92.69998093206296, 98.84870415550819, 114.79161391813648, 108.7245946957512, 146.63999172970628, 119.07387130630887, 138.26520134632108, 104.49693154633052, 96.47834533145856, 90.31768148459658, 63.10706250631448, 108.37876186909594, 93.34624973063343, 101.75466681509876, 75.67270646497394, 64.60796962383627]"
IA,"[41.7784321265825, 36.79450682691336, 27.70108384176075, 29.23379160698197, 29.258886012046915, 25.544574890236934, 31.513426686628808, 31.221356573625012, 34.22477475557313, 31.17057825408366, 51.03896375381027, 57.82284591355968, 36.51525480948853, 39.27398830178024, 33.87559166386987, 36.22911391416477, 34.5474347730792, 33.843638883519425, 38.578211423551934, 42.30442372820768, 41.41873222641024, 40.76534738528615, 45.82701523837719, 42.94858312743157, 39.19966118225156, 40.763473507284274, 44.56551620915986, 41.173204757048424, 43.106266132782075, 44.29226623299794, 40.40138105597212, 43.698822027992364, 37.39066154933304, 37.22920064202311, 34.19499622389005, 32.91562816289947, 31.791449545967197, 33.292361155600105, 33.45264555384357, 36.902569204005154, 36.23191315517774, 35.96198424317976, 35.81830927744896, 36.40988211379325, 39.63457978156981, 34.58797846848331, 31.914882455615267, 46.416144608338364, 38.63130943093184, 36.11348259133376, 39.687755338863695, 63.38404810195895, 45.82418944188349, 36.12614669323044, 34.47728207810579, 30.00693646907734, 32.905529543580286, 43.03832052558073, 46.150662302803724, 42.79388373347573, 32.46231290355048, 16.52279543073342]"
ID,"[50.78277760200592, 51.88286637406129, 47.6287112987023, 52.35665432352519, 40.31153976013797, 33.52584204511811, 46.49419869883939, 43.903940871966526, 46.32327754093277, 41.88841288397279, 53.909185700950744, 57.37681205379612, 50.480523771652344, 47.00857139098461, 52.2407605361458, 52.889068141258186, 46.34443342204563, 50.04462350177147, 54.30547109290399, 51.99219560121442, 57.89237433227903, 65.23829082583833, 53.00541058167664, 67.9833958974745, 59.483115815016404, 61.854066689918355, 55.83233835677677, 59.43301704102239, 68.7919752517733, 60.00151468359292, 57.04656176260628, 70.63594696735262, 74.35274383517671, 61.645834521258486, 60.73824607495485, 50.18874451079864, 49.89122379013326, 56.4090466218399, 53.84585418223414, 58.948154271620744, 49.58011616944561, 59.376303338259866, 48.332154875056716, 53.8786031162347, 57.68997894750628, 50.67507504801346, 55.51323106827242, 59.442453669338576, 48.81229259478628, 51.04854247376341, 62.343983310191724, 60.354945305112935, 53.8039645328994, 55.22497493915046, 49.81483577808737, 46.09467669147673, 39.64099645293326, 45.66208571246395, 48.57782009260247, 45.75591912174889, 40.36896497776059, 27.780901641781945]"
IL,"[41.24517946368637, 38.37530669512324, 34.993804171229066, 37.3071753950985, 35.633476781277025, 34.1031865943316, 39.36872285811131, 38.06980237658578, 38.569994384574116, 35.64747213440055, 47.77385010080936, 49.439211614555006, 47.59567236538593, 41.35897168692305, 44.38401276834856, 45.355474590764274, 43.08405815809764, 42.321684469824326, 44.411486786503865, 43.39152470600824, 48.57686456500928, 45.08915036849963, 42.79645318005423, 46.82061275047203, 45.43166859974872, 48.07258994709907, 45.06482055243619, 45.74999130029345, 46.87945870979331, 48.412087643963815, 47.505992925157216, 44.200379429699794, 44.34391288763094, 43.67236982647695, 43.21651213885874, 38.722103078988496, 40.41596811604993, 40.80212466524693, 38.941833357649415, 40.87004835594065, 40.96063693872368, 41.760610298321, 40.42065220271929, 38.506528444371426, 42.752700849342425, 42.65766727247895, 40.18689442009296, 45.275298518916294, 39.21251160043336, 41.697397028939974, 45.657236291873645, 45.615040811831676, 44.64597958307965, 37.145806912547826, 38.524720302084056, 34.36935489938387, 31.031099022659806, 40.731858259168476, 41.085800024449405, 36.63889285983767, 22.49124341473782, 15.439419265413306]"
IN,"[36.572126979413106, 28.020950261890825, 26.805414885972137, 26.87821993509481, 29.168034905635338, 24.32889251010212, 30.796183250604464, 31.13258668001533, 31.833954418033592, 33.18006566422848, 50.01869492540824, 40.68937052950636, 54.143088487303494, 42.795424240340026, 35.80023160591973, 31.44136685105027, 33.79780413125317, 33.97813386002193, 35.935744243797345, 38.94336394083229, 38.10677487320254, 38.43865407187417, 39.505955749555696, 42.81496578968743, 43.447279766713635, 40.02087585336548, 44.889682460513846, 41.1028253206894, 39.6498200252822, 40.923005808102566, 37.321526040715156, 38.68308294135219, 34.022643016076586, 31.22961920448204, 33.61738946254056, 29.475495516713767, 28.42310356668627, 29.620236362912717, 32.89840667399141, 33.26285548741297, 37.81164933179125, 37.49832192766311, 33.90623966441696, 29.66764394969864, 32.1465879280867, 30.72501311109583, 31.033419154948223, 36.51177712125862, 25.857309027785234, 31.599087070511366, 33.72525344266258, 37.02448369216717, 40.17400046769017, 31.99933438889413, 29.765702339576286, 26.580257279052987, 23.441693430033947, 32.42534034032389, 32.52728191804192, 33.31378010151706, 24.549870453292037, 14.058550839368193]"
KS,"[49.68656734968514, 47.93966266602808, 44.21168177214563, 44.03067987836294, 38.497725862662406, 36.72782827876827, 43.07817204153758, 42.317515537634385, 43.559038846941604, 56.01717412473429, 71.97955596637291, 51.72930961909065, 53.221120186690676, 52.798728874821606, 51.41783346277943, 52.67811653038598, 52.396456554109115, 55.05008454887486, 51.633386796597605, 52.913851384481184, 61.294851790336494, 59.87886389287037, 55.178803383242524, 58.409877407998295, 59.343672105875996, 59.49506851910574, 56.440278856123506, 60.41997123016848, 58.86434184018493, 62.21734899154136, 57.722871172549716, 57.245960800590446, 51.0361942405503, 47.08391959594123, 44.5562934093374, 46.625475382480246, 50.012403693557815, 45.13091411082402, 45.098239470205144, 47.97682448971435, 46.48854326306911, 46.47899628009152, 48.25681382111513, 42.06987503790323, 53.39132152641543, 47.237907848068026, 53.10857605586073, 59.07054666562209, 41.278423261468355, 49.85425273148699, 48.0217093632088, 53.19367923031893, 57.97307588273974, 43.713730224847886, 42.58291702000377, 44.03195167057054, 38.8076833803752, 45.028213033280004, 45.89656424048293, 43.9591092651364, 28.229280040037317, 19.11293329203204]"
